,ms_location,latitude,longitude,localite
749,608-01-03020-40437,14.9428213,-16.8215502,TIVAOUANE/TIVAOUANE/THIES
948,608-01-09013-59644,14.39416597,-16.95273546,MBOUR/MBOUR/THIES
829,608-01-04018-57903,14.4820677,-17.075251,SOMONE/MBOUR/THIES
656,608-01-00720-11580,12.84410685,-16.28159811,TENGHORY/BIGNONA/ZIGUINCHOR
199,608-01-03478-00003,14.81357375,-17.31497736,MALIKA/KEUR MASSAR/DAKAR
213,608-01-04000-60970,14.8421272,-15.8801312,NDAME/MBACKE/DIOURBEL
408,608-01-09022-16272,13.13783945,-13.74983586,BONCONTO/VELINGARA/KOLDA
332,608-01-09005-64071,14.71173922,-16.498037,LAMBAYE/BAMBEY/DIOURBEL
208,608-01-03913-00003,14.63296542,-16.43061441,NGOYE/BAMBEY/DIOURBEL
613,608-01-00469-00002,14.1595835,-16.0652109,KAOLACK/KAOLACK/KAOLACK
78,608-01-00716-09835,13.79565901,-16.1674479,WACK NGOUNA/NIORO DU RIP/KAOLACK
29,608-01-00206-32760,14.37739265,-16.94511756,SINDIA/MBOUR/THIES
535,608-01-71686-00004,15.0388057,-16.2574564,NIAKHENE/TIVAOUANE/THIES
695,608-01-01823-00003,14.69717094,-17.45089235,DAKAR PLATEAU/DAKAR/DAKAR
557,608-01-00118-21948,14.67603491,-17.43763629,DAKAR PLATEAU/DAKAR/DAKAR
836,608-01-04307-00001,14.741813,-17.284573,RUFISQUE/RUFISQUE/DAKAR
596,608-01-00340-00002,14.7786458,-17.3274393,MALIKA/KEUR MASSAR/DAKAR
165,608-01-03005-43349,14.910286,-15.87387,NDAME/MBACKE/DIOURBEL
918,608-01-09008-09075,14.70954687,-17.4671529,ALMADIES/DAKAR/DAKAR
495,608-01-09036-22485,14.90754351,-12.46075377,BAKEL/BAKEL/TAMBACOUNDA
824,608-01-04018-54224,14.4647599,-16.9994156,SINDIA/MBOUR/THIES
65,608-01-00707-28766,13.15179124,-14.11604614,VELINGARA/VELINGARA/KOLDA
141,608-01-02434-00006,14.51871862,-17.00681031,NGUEKOKH/MBOUR/THIES
925,608-01-09008-61943,14.71205342,-17.47692695,ALMADIES/DAKAR/DAKAR
827,608-01-04018-57686,14.4419866,-17.0143456,SALY PORTUDAL/MBOUR/THIES
655,608-01-00720-11576,12.95305619,-16.276189,SINDIAN/BIGNONA/ZIGUINCHOR
331,608-01-09005-46143,14.824363,-16.7477482,THIENABA/THIES/THIES
664,608-01-00821-33262,14.75934676,-17.38068472,THIAROYE/PIKINE/DAKAR
249,608-01-04013-51280,14.9436279,-16.8257863,TIVAOUANE/TIVAOUANE/THIES
907,608-01-09005-63687,14.655075,-16.236841,DIOURBEL/DIOURBEL/DIOURBEL
708,608-01-02018-32411,14.909423,-15.861529,NDAME/MBACKE/DIOURBEL
305,608-01-09001-45325,14.71747681,-17.43748354,GRAND DAKAR/DAKAR/DAKAR
734,608-01-03008-43552,14.8597629,-15.8495021,NDAME/MBACKE/DIOURBEL
975,608-01-09020-50436,14.136156,-16.077205,KAOLACK/KAOLACK/KAOLACK
49,608-01-00415-23441,16.06677572,-16.42442377,RAO/SAINT LOUIS/SAINT LOUIS
896,608-01-09004-45612,14.76758,-17.10337,KEUR MOUSSEU (KEUR MOUSSA)/THIES/THIES
2,608-01-00078-00006,14.68211005,-17.45865935,DAKAR PLATEAU/DAKAR/DAKAR
544,608-01-00037-00006,14.74510973,-17.4894707,ALMADIES/DAKAR/DAKAR
350,608-01-09009-52299,14.7856086,-17.38259581,GUEDIAWAYE/GUEDIAWAYE/DAKAR
904,608-01-09005-52480,14.7539684,-16.430947,LAMBAYE/BAMBEY/DIOURBEL
536,608-01-71709-00005,15.923736,-15.966662,KEUR MOMAR SARR/LOUGA/LOUGA
344,608-01-09008-61194,14.72081405,-17.46784582,GRAND DAKAR/DAKAR/DAKAR
994,608-01-09024-60604,14.51627372,-16.9999888,NGUEKOKH/MBOUR/THIES
481,608-01-09033-03557,14.09321729,-15.55353198,KAFFRINE/KAFFRINE/KAFFRINE
575,608-01-00206-28204,14.45535119,-16.98677491,SALY PORTUDAL/MBOUR/THIES
33,608-01-00228-26842,15.15719329,-16.31755652,NIAKHENE/TIVAOUANE/THIES
31,608-01-00207-28026,14.50765581,-17.00279621,NGUEKOKH/MBOUR/THIES
231,608-01-04008-51214,14.779233,-15.810405,KAEL/MBACKE/DIOURBEL
963,608-01-09017-02597,14.76034366,-17.4486558,PARCELLES ASSAINIES/DAKAR/DAKAR
192,608-01-03202-00001,15.76977273,-13.4661823,OGO/MATAM/MATAM
333,608-01-09007-22797,16.18950882,-15.9092375,NDIAYE MBERESS/DAGANA/SAINT LOUIS
3,608-01-00090-00002,14.71505004,-17.4813975,ALMADIES/DAKAR/DAKAR
204,608-01-03638-00004,14.84349025,-15.86400231,NDAME/MBACKE/DIOURBEL
514,608-01-09043-34301,12.53655568,-16.3604071,NYASSIA/ZIGUINCHOR/ZIGUINCHOR
799,608-01-04011-58629,14.7729535,-16.9372149,THIES/THIES/THIES
306,608-01-09002-07192,14.71757963,-17.46362322,ALMADIES/DAKAR/DAKAR
109,608-01-01102-00003,14.77137527,-17.4177226,PARCELLES ASSAINIES/DAKAR/DAKAR
430,608-01-09025-04628,14.67959385,-17.4548355,DAKAR PLATEAU/DAKAR/DAKAR
77,608-01-00716-00474,13.69078697,-15.8267941,PAOSKOTO/NIORO DU RIP/KAOLACK
84,608-01-00716-39319,13.786603,-16.005163,PAOSKOTO/NIORO DU RIP/KAOLACK
286,608-01-04963-00001,14.415557553,-14.339638401,KOUTHIABA OUOLOF/KOUMPENTOUM/TAMBACOUNDA
82,608-01-00716-33953,13.68895106,-15.77380271,PAOSKOTO/NIORO DU RIP/KAOLACK
991,608-01-09024-50601,14.570079,-17.129406,POPENGUINE/MBOUR/THIES
